key;category;term;genus;ref
Locken;nom;Locken;fpl;
Lärmverschmutzung;nom;Lärmverschmutzung;f;
Löffel;nom;Löffel;m;
Magie;nom;Magie;f;
Marke;nom;Marke;f;
Marzipan;nom;Marzipan;n;
Material;nom;Material;n;
Maßnahme;nom;Maßnahme;f;
Mehrwertsteuer;nom;Mehrwertsteuer;f;
Messer;nom;Messer;n;
Mischung;nom;Mischung;f;
Mischwald;nom;Mischwald;m;
Mitgift;nom;Mitgift;f;
Mitmensch;nom;Mitmensch;m;
Mountainbike;nom;Mountainbike;n;
Mündung;nom;Mündung;f;
Netz;nom;Netz;n;
Ohrhörer (einzeln);expression;Ohrhörer (einzeln);f;
Ostsee;nom;Ostsee;f;
Parkett;nom;Parkett;n;
Party;nom;Party;f;
Patina bekommen;expression;Patina bekommen;;
Petze;nom;Petze;f;
Phänomen;nom;Phänomen;n;
Pinie;nom;Pinie;f;
Pistenraupe;nom;Pistenraupe;f;
Plagiat;nom;Plagiat;n;
Plappermaul;nom;Plappermaul;f;
Plauderei;nom;Plauderei;f;
Porzellan;nom;Porzellan;n;
Praxis;nom;Praxis;f;
Prognose;nom;Prognose;f;
Prozent;nom;Prozent;n;
Präparierung;nom;Präparierung;f;
Prüfung;nom;Prüfung;f;
Qualle;nom;Qualle;f;
Radfahrer;nom;Radfahrer;m;
Rattan;nom;Rattan;n;
Region;nom;Region;f;
Ring;nom;Ring;m;
Riss;nom;Riss;m;
Rolle;nom;Rolle;f;
Rost;nom;Rost;m;
Rückhaltebecken;nom;Rückhaltebecken;n;
Saisonarbeiter;nom;Saisonarbeiter;m;
Schaden;nom;Schaden;m;
Schicht;nom;Schicht;f;
Schiedsrichter;nom;Schiedsrichter;m;
Schiene;nom;Schiene;f;
Schild;nom;Schild;n;
Schlafsack;nom;Schlafsack;m;
Schlamm;nom;Schlamm;m;
Schlitten fahren;expression;Schlitten fahren;;
Schlittschuh laufen;expression;Schlittschuh laufen;;
Schlägerei;nom;Schlägerei;f;
Schlüssel;nom;Schlüssel;m;
Schnee räumen;expression;Schnee räumen;;
Schneekanone;nom;Schneekanone;f;
Schneeschuhe;nom;Schneeschuhe;fpl;
Schuhe;nom;Schuhe;mpl;
Schwierigkeiten haben, etw. zu tun;expression;Schwierigkeiten haben, etw. zu tun;;
See;nom;See;m;
Seele;nom;Seele;f;
Seilbahn;nom;Seilbahn;f;
Silber;nom;Silber;n;
Silberbesteck;nom;Silberbesteck;n;
Skibekleidung;nom;Skibekleidung;f;
Skifahrer;nom;Skifahrer;m;
Skischuhe;nom;Skischuhe;fpl;
Sohle;nom;Sohle;f;
Solarpanel;nom;Solarpanel;n;
Solex;nom;Solex;m;
Sonnenuntergang;nom;Sonnenuntergang;m;
Speicherung;nom;Speicherung;f;
Sperre;nom;Sperre;f;
Spur;nom;Spur;f;
Spur / Fahrbahn;expression;Spur / Fahrbahn;f;
Stadt;nom;Stadt;f;
Stadtrand;nom;Stadtrand;m;
Stadtring;nom;Stadtring;m;
Stammbaum;nom;Stammbaum;m;
Start;nom;Start;m;
Stau;nom;Stau;m;
Staub wischen;expression;Staub wischen;;
Steigung;nom;Steigung;f;
Steingut;nom;Steingut;n;
Steinschlag;nom;Steinschlag;m;
Stoff;nom;Stoff;m;
Stofftasche;nom;Stofftasche;f;
Storch;nom;Storch;m;
Strauch;nom;Strauch;m;
Straßenarbeiten;nom;Straßenarbeiten;;
Stromausfall;nom;Stromausfall;m;
Sumpf;nom;Sumpf;m;
Taschentuch;nom;Taschentuch;n;
Tasse;nom;Tasse;f;
Tausende;nom;Tausende;;
Tee;nom;Tee;m;
Thermalwesen;nom;Thermalwesen;n;
Thermoskanne;nom;Thermoskanne;f;
Tischdecke;nom;Tischdecke;f;
Todesanzeige;nom;Todesanzeige;f;
Transport;nom;Transport;m;
Treibhausgase;nom;Treibhausgase;mpl;
Trödelmarkt (Nordfrankreich);expression;Trödelmarkt (Nordfrankreich);m;
Trödelmarkt (Picardie);expression;Trödelmarkt (Picardie);m;
U-Bahn;nom;U-Bahn;f;
Uhr;nom;Uhr;f;
Umhängetasche;nom;Umhängetasche;f;
Umsatz;nom;Umsatz;m;
Uneinigkeiten managen;expression;Uneinigkeiten managen;;
VW-Käfer;nom;VW-Käfer;f;
Verkehr;nom;Verkehr;m;
Verlust;nom;Verlust;m;
Vertraute;nom;Vertraute;m/f;
Vertrautheit;nom;Vertrautheit;f;
Vorhersage;nom;Vorhersage;f;
Wahrscheinlichkeit;nom;Wahrscheinlichkeit;f;
Wanderung;nom;Wanderung;f;
Wasserstoff;nom;Wasserstoff;m;
Weinbauregion;nom;Weinbauregion;f;
Wettstreit;nom;Wettstreit;m;
Wikinger;nom;Wikinger;m;
Windkraftanlage;nom;Windkraftanlage;f;
Wissenschaftler;nom;Wissenschaftler;m;
Wohnmobil;nom;Wohnmobil;n;
Wohnsitznachweis;nom;Wohnsitznachweis;m;
Wunde;nom;Wunde;f;
Wärmepumpe;nom;Wärmepumpe;f;
Wüste;nom;Wüste;f;
Zahnschmerzen;nom;Zahnschmerzen;pl;
Zielgruppe;nom;Zielgruppe;f;
Zugvogel;nom;Zugvogel;m;
Zwillinge;nom;Zwillinge;mpl;
Zwillingsschwestern;nom;Zwillingsschwestern;fpl;
abbrennen;nom;abbrennen;;
abheben;nom;abheben;;
abnehmen;nom;abnehmen;;
als Musterschüler gelten;expression;als Musterschüler gelten;;
am Rheinufer;expression;am Rheinufer;;
am Ufer von etw.;expression;am Ufer von etw.;;
an der Küste;expression;an der Küste;;
angeschlagen;nom;angeschlagen;;
ansammeln;nom;ansammeln;;
anstatt;nom;anstatt;;
anstrengend;nom;anstrengend;;
atembar;nom;atembar;;
atmen;nom;atmen;;
auf dem Gras;expression;auf dem Gras;;
auf der Straße;expression;auf der Straße;;
aufgrund von;expression;aufgrund von;;
aufwerten;nom;aufwerten;;
aus Konvention;expression;aus Konvention;;
ausgleichen;nom;ausgleichen;;
ausreichend;nom;ausreichend;;
außerhalb der Familie;expression;außerhalb der Familie;;
bebaut;nom;bebaut;;
begrünen;nom;begrünen;;
bei weitem nicht der Fall sein;expression;bei weitem nicht der Fall sein;;
belohnen;nom;belohnen;;
benachteiligen;nom;benachteiligen;;
bequem;nom;bequem;;
beschuldigen;nom;beschuldigen;;
beschädigt;nom;beschädigt;;
besonders;nom;besonders;;
billig;nom;billig;;
bleiben;nom;bleiben;;
breite Straße;expression;breite Straße;f;
das Auto parken;expression;das Auto parken;;
das Gelände ist abschüssig;expression;das Gelände ist abschüssig;;
das Thema wechseln;expression;das Thema wechseln;;
den Platz wechseln;expression;den Platz wechseln;;
die Strecke zurücklegen;expression;die Strecke zurücklegen;;
die Treppe hinunterfallen;expression;die Treppe hinunterfallen;;
durch Paris fahren;expression;durch Paris fahren;;
ein Material zurückhalten;expression;ein Material zurückhalten;;
eine Antwort hinterfragen;expression;eine Antwort hinterfragen;;
eine Feststellung machen;expression;eine Feststellung machen;;
eine Leidenschaft hat mich gepackt;expression;eine Leidenschaft hat mich gepackt;;
eine Studie durchsehen;expression;eine Studie durchsehen;;
eineiige Zwillinge;expression;eineiige Zwillinge;mpl;
einen Bedarf decken;expression;einen Bedarf decken;;
einen Konflikt lösen;expression;einen Konflikt lösen;;
einer Versuchung erliegen;expression;einer Versuchung erliegen;;
einparken;nom;einparken;;
einstürzen;nom;einstürzen;;
ekelhaft;nom;ekelhaft;;
emotional;nom;emotional;;
enden;nom;enden;;
entgegenkommende Fahrzeuge;expression;entgegenkommende Fahrzeuge;pl;
entsperren;nom;entsperren;;
entweichen;nom;entweichen;;
erfreulich;nom;erfreulich;;
erfüllen / ausgleichen;expression;erfüllen / ausgleichen;;
ermüdend;nom;ermüdend;;
erreichen;nom;erreichen;;
erwähnen, ins Gedächtnis rufen;expression;erwähnen, ins Gedächtnis rufen;;
erziehen;nom;erziehen;;
etw. absagen;expression;etw. absagen;;
etw. abschaffen;expression;etw. abschaffen;;
etw. auf die Probe stellen;expression;etw. auf die Probe stellen;;
etw. bei sich haben;expression;etw. bei sich haben;;
etw. bereuen;expression;etw. bereuen;;
etw. besitzen;expression;etw. besitzen;;
etw. desinfizieren;expression;etw. desinfizieren;;
etw. entfernen / wegnehmen;expression;etw. entfernen / wegnehmen;;
etw. erkennen / unterscheiden;expression;etw. erkennen / unterscheiden;;
etw. erwarten;expression;etw. erwarten;;
etw. fortbestehen lassen;expression;etw. fortbestehen lassen;;
etw. fällen;expression;etw. fällen;;
etw. knüpfen;expression;etw. knüpfen;;
etw. leugnen;expression;etw. leugnen;;
etw. loswerden;expression;etw. loswerden;;
etw. mögen;expression;etw. mögen;;
etw. vergessen;expression;etw. vergessen;;
