sentence_id;term_language;term_key;phrase
1;fr;s'inscrire;m'inscrire
1;fr;cours de français;cours de français
1;de;sich anmelden;melde mich … an
1;de;Französischkurs;Französischkurs
2;fr;manifestation;manifestation
2;fr;rue principale;rue principale
2;de;Hauptstraße;Hauptstraße
2;de;Demonstration;Demonstration
3;fr;désinfecter qc.;désinfecter
3;fr;plaie;plaie
3;de;Wunde;Wunde
3;de;etw. desinfizieren;desinfizieren
