category;term;genus;ref
nom;Skischuhe;fpl;
nom;Ausrüstung;f;
nom;Material;n;
expression;ohne Skipass;;
adverbe;ausreichend;;
nom;wirtschaftliche Bilanz;f;
expression;etw. leugnen;;
verbe;Schwierigkeiten haben, etw. zu tun;;
nom;Wasserstoff;m;
expression;etw. fortbestehen lassen;;
nom;Genügsamkeit;f;
nom;Treibhausgase;mpl;
expression;als Musterschüler gelten;;
nom;Windkraftanlage;f;
verbe;wachsen;;
verbe;jmdn. verwöhnen;;
adjectif;handwerklich;;
nom;Einzelkind;n;
nom;Halbbruder / Halbschwester;m/f;
adjectif;offen / ehrlich;;
nom;Ehrlichkeit;f;
nom;Geburtenrate;f;
nom;Föderalismus;m;
verbe;überfordert sein;;
nom;Praxis;f;
nom;Schlägerei;f;
verbe;petzen;;
nom;Petze;f;
expression;schlecht drauf sein;;
nom;Kakerlake;f;
adjectif;hemmungslos;;
expression;kein Blatt vor den Mund nehmen;;
expression;einen Konflikt lösen;;
nom;Vertrautheit;f;
travail;eine Studie durchsehen;;
verbe;erreichen;;
adverbe;mal so, mal so;;
nom;gegenseitige Hilfe;f;
expression;eine Feststellung machen;;
nom;Fracht;f;
nom;Ladung;f;
expression;willkommen sein;;
adjectif;keltisch;;
expression;über eine Vermittlung;;
verbe;unterhalten;;
verbe;pflegen;;
nom;Gespräch;n;
nom;Bewerbungsgespräch;n;
verbe;sich unterhalten;;
nom;Zahnschmerzen;pl;
adjectif;verärgert;;
verbe;erziehen;;
nom;Erziehung;f;
verbe;sich streiten;;
verbe;zögern, etw. zu tun;;
expression;außerhalb der Familie;;
expression;learning by doing;;
nom;Haufen;m;
adjectif;erfreulich;;
verbe;wohnen;;
verbe;bleiben;;
adjectif;emotional;;
expression;Uneinigkeiten managen;;
nom;Geschwister;pl;
verbe;benachteiligen;;
expression;trotzdem / dennoch;;
nom;Geburtsrang;m;
verbe;verstreuen / verbreiten;;
nom;Ältester;m;
nom;Jüngster;m;
adjectif;rebellisch;;
nom;Zielgruppe;f;
expression;mehr von;;
verbe;schimpfen;;
verbe;beschuldigen;;
expression;ihm gegenüber;;
expression;sich im Erwachsenenalter annähern;;
expression;Bindungen lockern;;
verbe;versammeln;;
expression;aus Konvention;;
nom;Plappermaul;f;
nom;Party;f;
expression;sich gut mit jmdm. verstehen;;
expression;sich schlecht mit jmdm. verstehen;;
nom;Zwillinge;mpl;
nom;Zwillingsschwestern;fpl;
nom;eineiige Zwillinge;mpl;
nom;zweieiige Zwillinge;mpl;
verbe;etw. verwechseln;;
expression;frühgeboren sein;;
verbe;etw. erkennen / unterscheiden;;
adjectif;gleich;;
nom;Kindergarten;f;
nom;Kinderkrippe;f;
expression;Den Haag;;
nom;Hecke;f;
expression;das Thema wechseln;;
expression;krank spielen;;
expression;einen Bedarf decken;;
expression;enden;;
expression;bei weitem nicht der Fall sein;;
expression;wenn / damit;;
verbe;verbergen / tarnen;;
verbe;den Platz wechseln;;
verbe;langsamer werden;;
expression;Lichthupe geben;;
nom;Blaulicht;n;
nom;Ahnenforschung;f;
nom;Stammbaum;m;
nom;Todesanzeige;f;
adverbe;von früher;;
expression;anstatt;;
nom;Entwurf;m;
nom;Beileidsbrief;m;
nom;Schiedsrichter;m;
nom;Stromausfall;m;
expression;ständig über etw. nachdenken;;
nom;Lebensberater/in;m/f;
nom;Vertraute;m/f;
nom;leitende Angestellte;m;
verbe;etw. knüpfen;;
verbe;stattfinden / verlaufen;;
expression;sich einen Platz erkämpfen;;
nom;Gesprächspartner;m;
nom;Plauderei;f;
nom;vertrauliche Geständnis;n;
nom;Mitmensch;m;
expression;übergangsweise;;
verbe;erfüllen / ausgleichen;;
nom;Wettstreit;m;
nom;Gefühlsausbruch;m;
nom;Epos;n;
adjectif;gehemmt;;
verbe;eine Antwort hinterfragen;;
verbe;sich wieder fangen;;
adjectif;ästhetisch;;
nom;Arabeske;f;
adjectif;vernachlässigbar;;
expression;schwer darauf verzichten können;;
verbe;aufwerten;;
expression;etw. auf die Probe stellen;;
adjectif;gesellschaftlich zurückgezogen;;
adjectif;nachsichtig;;
adverbe;jedoch;;
nom;nachdrückliche Meinung;f;
adverbe;wenigstens;;
nom;Ohrhörer (einzeln);f;
nom;In-Ear-Kopfhörer;mpl;
nom;Kopfhörer (Over-Ear);m;
nom;Kinderwagen;m;
nom;Wahrscheinlichkeit;f;
nom;Plagiat;n;
nom;Einmaleins;n;
verbe;festnehmen / stellen;;
nom;Baustelle;f;
expression;Straßenarbeiten;;
nom;Fahrradweg;m;
nom;Einbahnstraße;f;
nom;Autofahrer;m;
verbe;jmdm. begegnen;;
verbe;überfahren;;
verbe;herumschleichen;;
expression;am Rheinufer;;
nom;Radfahrer;m;
phrase;ich bin dorthin gegangen;;
nom;Bodenwelle;f;
nom;Locken;fpl;
verbe;überholen;;
nom;Käfer (Tier);m;
nom;VW-Käfer;f;
expression;über die Ringstraße fahren;;
verbe;hupen;;
nom;GPS-Geräte;npl;
nom;Bremse;f;
verbe;das Auto parken;;
nom;Bullen (Polizei);mpl;
adjectif;überfüllt;;
nom;Lärmverschmutzung;f;
expression;heftige Diskussion;;
adjectif;gerade (Zahl);;
adjectif;ungerade (Zahl);;
nom;Verkehr;m;
phrase;Das macht etwas aus, wenn weniger Autos unterwegs sind.;;
nom;Autobahnabschnitt;m;
adjectif;flüssig (Verkehr);;
nom;Stau;m;
nom;Korken / Deckel;m;
expression;nach Paris hineinfahren;;
nom;Crit’Air-Plakette;f;
adjectif;zugeparkt / blockiert;;
verbe;atmen;;
nom;Fußgänger;m;
adjectif;in Kraft;;
nom;Sperre;f;
nom;Anwohner;m;
expression;etw. bei sich haben;;
