id;lang;term_text;category;genus;needs_vowel_article;unit_id;ref;tags;has_audio
149;de;lautlos;expression;;;;;;true
150;fr;analyser {qc.};verb;;;;;;true
151;fr;jeu de données;noun;m;;;;;true
152;de;Datensatz;noun;m;;;;;true
153;de;{etw.} analysieren;verb;;;;;;true
154;fr;dinde;noun;f;;;;;true
155;fr;marcher;verb;;;;;;true
156;de;Pute;noun;f;;;;;true
157;de;laufen;verb;;;;;;true
158;fr;rayonner;verb;;;;;;true
159;fr;bourse;noun;f;;;;;true
160;de;Stipendium;noun;n;;;;;true
161;fr;visage;noun;m;;;;;true
162;fr;briller;verb;;;;;;true
163;de;leuchten;verb;;;;;;true
164;de;Gesicht;noun;n;;;;;true
165;fr;mise en scène;noun;f;;;;;true
166;de;Inszenierung;noun;f;;;;;true
167;fr;corbeau;noun;m;;;;;true
168;fr;corneille;noun;f;;;;;true
169;de;Rabe;noun;m;;;;;true
170;de;Krähe;noun;f;;;;;true
171;fr;papillon;noun;m;;;;;true
172;fr;{se} poser {sur qc.};verb;;;;;;true
173;de;Schmetterling;noun;m;;;;;true
174;de;{sich auf etw.} setzen;verb;;;;;;true
175;fr;atelier;noun;m;true;;;;true
176;de;Workshop;noun;m;;;;;true
177;fr;stage;noun;m;;;;;true
178;fr;entreprise;noun;f;true;;;;true
179;de;Praktikum;noun;n;;;;;true
180;de;Unternehmen;noun;n;;;;;true
181;fr;écureuil;noun;m;true;;;;true
182;fr;grimper;verb;;;;;;true
183;de;Eichhörnchen;noun;n;;;;;true
184;de;klettern;verb;;;;;;true
185;fr;moineau;noun;m;;;;;true
186;fr;picorer {qc.};verb;;;;;;true
187;fr;miette;noun;f;;;;;true
188;de;Spatz;noun;m;;;;;true
189;de;{etw.} picken;verb;;;;;;true
190;de;Krümel;noun;m;;;;;true
191;fr;escargot;noun;m;true;;;;true
192;de;Schnecke;noun;f;;;;;true
193;fr;limace;noun;f;;;;;true
194;de;Schneckenhaus;noun;n;;;;;true
195;de;Nacktschnecke;noun;f;;;;;true
196;fr;disparition;noun;f;;;;;true
197;fr;étrange;adjective;;;;;;true
198;de;Verschwinden;noun;n;;;;;true
199;de;seltsam;adjective;;;;;;true
200;de;strahlend;adjective;;;;;;true
201;fr;coquille;noun;f;;;;;true
202;de;{etw.} verhandeln;verb;;;;;;true
203;de;{etw.} gern tun;verb;;;;;;true
204;fr;{s'}assoir {sur qc.};verb;;;;;;true
205;fr;rotin;noun;m;;;;;true
206;de;Rattan;noun;n;;;;;true
207;fr;frisson;noun;m;;;;;true
208;fr;joie;noun;f;;;;;true
209;de;Kribbeln;noun;n;;;;;true
210;de;Freude;noun;f;;;;;true
211;fr;médecin généraliste;noun;m;;;;;true
212;de;Hausarzt;noun;m;;;;;true
213;fr;déclencher {qc.};verb;;;;;;true
214;de;{etw.} auslösen;verb;;;;;;true
215;de;von Hand;expression;;;;;;true
216;fr;à la main;adjective;;;;;;true
217;fr;perroquet;noun;m;;;;;true
218;fr;répeter {qc.};verb;;;;;;true
219;fr;mot;noun;m;;;;;true
220;de;Papagei;noun;m;;;;;true
221;de;{etw.} wiederholen;verb;;;;;;true
222;de;Wort;noun;n;;;;;true
223;fr;trouver {qc.};verb;;;;;;true
224;fr;ver de terre;noun;m;;;;;true
225;de;{etw.} finden;verb;;;;;;true
226;de;Regenwurm;noun;m;;;;;true
227;fr;entendre {qc.};verb;;;;;;true
228;fr;mousse;noun;f;;;;;true
229;fr;pierre;noun;f;;;;;true
230;de;Stein;noun;m;;;;;true
231;de;Moos;noun;n;;;;;true
232;fr;forêt;noun;f;;;;;true
233;de;Wald;noun;m;;;;;true
234;de;Marder;noun;m;;;;;true
235;fr;vivre;verb;;;;;;true
236;de;leben;verb;;;;;;true
237;fr;martre;noun;f;;;;;true
238;fr;coccinelle;noun;f;;;;;true
239;de;Marienkäfer;noun;m;;;;;true
240;fr;mésange;noun;f;;;;;true
241;de;Meise;noun;f;;;;;true
242;de;Korn;noun;n;;;;;true
243;fr;graine;noun;f;;;;;true
244;fr;manger {qc.};verb;;;;;;true
245;de;{etw.} fressen;verb;;;;;;true
246;fr;rouge-gorge;noun;m;;;;;true
247;fr;chanter;verb;;;;;;true
248;de;Rotkehlchen;noun;n;;;;;true
249;de;singen;verb;;;;;;true
250;fr;pic vert;noun;m;;;;;true
251;de;{etw.} hören;verb;;;;;;true
252;de;Grünspecht;noun;m;;;;;true
253;fr;album photo;noun;m;true;;;;true
254;de;Fotoalbum;noun;n;;;;;true
255;fr;transcrire {qc.};verb;;;;;;true
256;de;{etw.} transkribieren;verb;;;;;;true
257;fr;stylo bille;noun;m;;;;;true
258;de;Kugelschreiber;noun;m;;;;;true
259;fr;stylo plume;noun;m;;;;;true
260;de;Füller;noun;m;;;;;true
261;fr;encrier;noun;m;true;;;;true
262;de;Tintenfass;noun;n;;;;;true
263;fr;écriture manuscrite;noun;f;true;;;;true
264;de;Schreibschrift;noun;f;;;;;true
265;fr;caractère d’imprimerie;noun;m;;;;;true
266;de;Druckbuchstabe;noun;m;;;;;true
267;de;Geselligkeit;noun;f;;;;;true
268;de;im Mittelpunkt {von etw.} stehen;verb;;;;;;true
269;de;Veranstaltung;noun;f;;;;;true
270;fr;convivialité;noun;f;;;;;true
271;fr;être au cœur {de qc.};adjective;;;;;;true
272;fr;événement;noun;m;true;;;;true
273;fr;conversation;noun;f;;;;;true
274;fr;au fil de {qc.};expression;;;;;;true
275;fr;suspendre {qc.};verb;;;;;;true
