fr;de;priority
s'inscrire;sich anmelden;1
cours de français;Französischkurs;1
désinfecter qc.;etw. desinfizieren;1
plaie;Wunde;1
manifestation;Demonstration;1
rue principale;Hauptstraße;1
camping;Camping;1
camping;Campen;1
légume;Gemüse;1
frigidaire;Kühlschrank;1
au bord de;am Ufer von;1
sac de couchage;Schlafsack;1
lac;See;1
oublier qc.;etw. vergessen;1
plein de;voll;1
talon;Absatz;1
